
> prediction-market-starter-kit@0.1.0 bot:realtime /Users/yuping/Downloads/git/prediction-market-starter-kit
> tsx bot/realtime-daemon.ts

[2026-03-30 08:56:08] Realtime Bot Daemon starting
  Scan interval:  1 second
  Auto-tune:      every 1 hour
  Press Ctrl+C to stop

  New wallet: 0xC114Aa4216D4e17EaBF5aD3Cd6866CD58d42AC5b
[2026-03-30 08:56:19] Cycle #1: trades=15 exits=0 equity=$10098.06 arb=$0.2627 DD=-0.98%
[2026-03-30 08:56:29] Cycle #2: trades=30 exits=0 equity=$10196.64 arb=$0.5268 DD=-0.99%
[2026-03-30 08:56:40] Cycle #3: trades=45 exits=0 equity=$10295.70 arb=$0.7922 DD=-1.00%
[2026-03-30 08:56:51] Cycle #4: trades=60 exits=0 equity=$10395.27 arb=$1.0590 DD=-1.01%
[2026-03-30 08:57:01] Cycle #5: trades=75 exits=0 equity=$10495.36 arb=$1.3271 DD=-1.02%
[2026-03-30 08:57:12] Cycle #6: trades=90 exits=0 equity=$10595.94 arb=$1.5966 DD=-1.03%
[2026-03-30 08:57:22] Cycle #7: trades=105 exits=0 equity=$10697.06 arb=$1.8675 DD=-1.04%
[2026-03-30 08:57:33] Cycle #8: trades=120 exits=0 equity=$10798.68 arb=$2.1398 DD=-1.05%
[2026-03-30 08:57:44] Cycle #9: trades=135 exits=0 equity=$10900.80 arb=$2.4134 DD=-1.06%
[2026-03-30 08:57:54] Cycle #10: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:58:05] Cycle #11: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:58:15] Cycle #12: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:58:26] Cycle #13: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:58:37] Cycle #14: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:58:47] Cycle #15: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:58:58] Cycle #16: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:59:09] Cycle #17: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:59:19] Cycle #18: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:59:30] Cycle #19: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:59:40] Cycle #20: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 08:59:51] Cycle #21: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:00:02] Cycle #22: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:00:12] Cycle #23: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:00:23] Cycle #24: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:00:33] Cycle #25: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:00:44] Cycle #26: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:00:55] Cycle #27: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:01:05] Cycle #28: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:01:16] Cycle #29: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:01:26] Cycle #30: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:01:37] Cycle #31: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:01:48] Cycle #32: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:01:58] Cycle #33: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:02:09] Cycle #34: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:02:19] Cycle #35: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:02:30] Cycle #36: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:02:41] Cycle #37: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:02:51] Cycle #38: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:03:02] Cycle #39: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:03:13] Cycle #40: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:03:23] Cycle #41: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:03:34] Cycle #42: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:03:44] Cycle #43: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:03:55] Cycle #44: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:04:06] Cycle #45: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:04:16] Cycle #46: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:04:27] Cycle #47: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:04:37] Cycle #48: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:04:48] Cycle #49: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:04:59] Cycle #50: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:05:09] Cycle #51: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:05:20] Cycle #52: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:05:30] Cycle #53: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:05:41] Cycle #54: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:05:52] Cycle #55: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:06:02] Cycle #56: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:06:13] Cycle #57: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:06:23] Cycle #58: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:06:34] Cycle #59: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:06:45] Cycle #60: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:06:55] Cycle #61: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:07:06] Cycle #62: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:07:16] Cycle #63: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:07:27] Cycle #64: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:07:38] Cycle #65: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:07:48] Cycle #66: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:07:59] Cycle #67: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:08:09] Cycle #68: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:08:20] Cycle #69: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:08:31] Cycle #70: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:08:41] Cycle #71: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:08:52] Cycle #72: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:09:02] Cycle #73: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:09:13] Cycle #74: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:09:24] Cycle #75: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:09:34] Cycle #76: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:09:45] Cycle #77: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:09:55] Cycle #78: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
